v,e,time
1024,65536,0.000250403
1024,131072,0.00049869
1024,262144,0.00097133
1024,524288,0.00186485
1024,1048576,0.00391968
1024,2097152,0.0071259
1024,4194304,0.015177
4096,65536,0.000298542
4096,131072,0.000520627
4096,262144,0.00100044
4096,524288,0.00193528
4096,1048576,0.00391603
4096,2097152,0.00783144
4096,4194304,0.0152051
16384,65536,0.000521988
16384,131072,0.000734965
16384,262144,0.00119752
16384,524288,0.00210784
16384,1048576,0.00407948
16384,2097152,0.00787954
16384,4194304,0.0150603
